Variedad,Altura,Cantidad (L),Temperatura,pH,Tiempo de fermentación,Puntaje en taza,Categoria_Puntaje
5,785.0,34.8,13.5,4.46,51.0,77.75,No especial
6,1108.0,20.5,29.0,3.83,29.0,80.0,No especial
7,1276.0,89.2,19.4,3.42,28.0,85.5,Muy bueno
9,686.0,130.3,22.8,4.55,115.0,85.0,Bueno
7,1187.0,3.0,31.7,3.95,25.0,78.25,No especial
3,1045.0,80.7,31.4,3.74,19.0,75.5,No especial
5,411.0,56.0,30.4,4.21,81.0,82.25,Bueno
3,1345.0,58.7,16.4,3.78,39.0,83.25,Bueno
1,1755.0,47.0,23.6,4.05,16.0,82.75,Bueno
4,1050.0,26.2,21.1,4.36,17.0,75.25,No especial
9,933.0,108.7,22.2,4.47,136.0,83.5,Bueno
10,1143.0,31.7,17.7,4.79,69.0,85.0,Bueno
1,1308.0,29.7,13.3,3.87,50.0,80.0,No especial
9,1183.0,14.8,22.9,4.15,56.0,85.75,Muy bueno
10,1018.0,92.6,18.3,4.64,145.0,85.5,Muy bueno
2,1593.0,20.5,19.1,4.18,27.0,85.25,Muy bueno
1,1697.0,3.8,32.0,4.09,11.0,81.5,Bueno
7,977.0,4.1,23.6,4.64,18.0,81.5,Bueno
3,1474.0,65.0,20.4,3.87,30.0,83.75,Bueno
5,1015.0,4.6,24.9,4.14,26.0,75.25,No especial
8,1124.0,88.5,16.3,4.33,82.0,84.0,Bueno
10,1213.0,99.4,19.4,4.89,127.0,85.75,Muy bueno
2,1588.0,74.8,25.2,4.11,10.0,79.75,No especial
6,1232.0,104.9,20.2,3.63,43.0,84.0,Bueno
7,948.0,126.1,24.3,3.81,34.0,84.0,Bueno
10,1162.0,78.8,15.9,4.66,140.0,84.5,Bueno
9,878.0,161.9,22.4,4.94,42.0,84.5,Bueno
10,1164.0,76.7,18.6,4.92,133.0,85.5,Muy bueno
8,1221.0,34.1,22.9,4.56,28.0,84.0,Bueno
9,1032.0,39.4,14.1,4.72,128.0,84.5,Bueno
10,1193.0,91.3,19.7,4.25,142.0,85.5,Muy bueno
4,589.0,47.3,23.2,4.22,35.0,78.25,No especial
8,912.0,82.1,20.4,4.18,116.0,81.25,Bueno
7,1006.0,92.1,18.8,4.52,36.0,80.5,Bueno
10,1591.0,30.3,18.0,4.52,156.0,87.0,Muy bueno
2,1412.0,38.0,15.9,4.05,29.0,80.25,Bueno
3,949.0,109.0,30.4,3.42,19.0,81.25,Bueno
9,1209.0,38.2,18.6,4.31,161.0,86.0,Muy bueno
3,1170.0,3.5,23.6,4.12,25.0,74.0,No especial
6,861.0,2.9,15.7,4.71,23.0,80.25,Bueno
2,1724.0,27.4,18.2,3.84,30.0,86.25,Muy bueno
10,823.0,97.8,21.2,4.28,166.0,86.0,Muy bueno
5,1325.0,2.7,29.3,4.63,13.0,84.75,Bueno
3,1168.0,6.5,31.9,4.02,22.0,73.25,No especial
10,1243.0,8.4,25.6,4.9,61.0,85.75,Muy bueno
4,1080.0,2.4,23.5,4.45,15.0,73.75,No especial
7,864.0,77.1,15.2,4.69,19.0,77.25,No especial
10,1190.0,71.5,17.9,4.57,152.0,86.0,Muy bueno
10,1063.0,93.8,18.8,4.81,67.0,83.75,Bueno
1,1664.0,116.0,28.3,4.01,26.0,72.0,No especial
3,595.0,2.5,30.5,4.36,17.0,77.75,No especial
10,1150.0,97.7,17.4,4.74,86.0,83.75,Bueno
4,1511.0,75.0,24.4,3.71,26.0,84.75,Bueno
2,1764.0,38.7,22.9,4.0,19.0,84.5,Bueno
7,482.0,2.5,29.2,4.66,34.0,85.75,Muy bueno
10,1235.0,62.3,20.8,4.88,164.0,86.5,Muy bueno
9,1108.0,42.3,25.0,4.63,47.0,84.0,Bueno
1,1473.0,6.8,15.3,3.73,54.0,80.75,Bueno
2,1290.0,4.0,31.1,4.21,18.0,78.75,No especial
7,1280.0,46.8,15.0,3.48,51.0,86.5,Muy bueno
1,1903.0,18.3,32.8,4.93,5.0,87.0,Muy bueno
2,1638.0,3.4,19.2,4.0,45.0,86.0,Muy bueno
9,1059.0,118.5,19.2,4.77,33.0,82.0,Bueno
8,1120.0,90.9,19.1,3.85,99.0,86.0,Muy bueno
2,1365.0,3.6,25.8,4.12,23.0,75.25,No especial
7,971.0,125.3,22.6,3.73,67.0,85.0,Muy bueno
10,1129.0,54.9,17.2,4.92,152.0,86.0,Muy bueno
0,2058.0,11.4,26.1,4.05,8.0,85.5,Muy bueno
5,842.0,78.0,18.3,4.44,48.0,79.75,No especial
2,624.0,50.1,23.1,4.02,42.0,75.25,No especial
2,1612.0,5.3,21.3,3.8,115.0,86.5,Muy bueno
4,795.0,105.7,29.9,3.56,24.0,78.75,No especial
2,1265.0,86.5,21.2,3.87,22.0,73.5,No especial
4,1151.0,87.7,24.2,3.63,42.0,75.25,No especial
3,834.0,2.4,33.1,4.01,13.0,76.5,No especial
3,1572.0,25.1,33.0,3.88,14.0,77.25,No especial
8,1567.0,20.8,15.2,3.72,132.0,87.0,Muy bueno
10,1183.0,70.0,19.1,4.85,135.0,85.75,Muy bueno
9,1060.0,103.1,19.3,4.68,65.0,85.25,Muy bueno
10,905.0,113.3,19.3,4.81,40.0,83.5,Bueno
10,1077.0,85.0,17.1,4.62,129.0,84.75,Bueno
9,1085.0,90.9,16.9,4.36,109.0,84.0,Bueno
9,895.0,71.2,16.0,4.53,133.0,84.25,Bueno
9,1036.0,3.2,16.1,5.08,35.0,86.5,Muy bueno
8,1030.0,82.9,24.6,3.55,44.0,85.75,Muy bueno
6,1032.0,106.3,20.9,3.5,35.0,83.25,Bueno
8,851.0,3.1,19.1,4.83,48.0,85.5,Muy bueno
0,1971.0,21.2,23.6,4.12,11.0,86.0,Muy bueno
1,1461.0,2.9,32.8,4.08,15.0,73.25,No especial
0,2109.0,4.2,27.8,4.31,6.0,86.5,Muy bueno
7,1042.0,3.0,12.8,4.98,26.0,81.0,Bueno
2,1750.0,7.8,22.0,3.83,67.0,85.0,Bueno
6,1153.0,77.5,26.4,3.54,32.0,81.75,Bueno
2,1627.0,6.2,15.2,4.09,32.0,85.0,Bueno
3,1997.0,23.9,25.3,4.28,10.0,87.0,Muy bueno
3,1042.0,19.9,16.3,3.83,46.0,74.5,No especial
10,919.0,88.8,18.5,4.6,142.0,85.75,Muy bueno
10,1028.0,47.9,20.6,4.7,142.0,85.75,Muy bueno
4,1256.0,81.7,20.8,3.73,25.0,81.5,Bueno
6,1372.0,2.8,32.5,4.4,26.0,84.5,Bueno
7,873.0,46.0,14.3,4.57,73.0,81.75,Bueno
4,1219.0,11.6,32.0,3.72,30.0,73.25,No especial
5,1236.0,2.8,27.2,4.54,15.0,74.75,No especial
10,1131.0,7.1,15.8,5.05,65.0,86.75,Muy bueno
4,1084.0,113.5,30.1,4.25,11.0,76.75,No especial
0,1897.0,20.0,21.0,4.03,17.0,82.5,Bueno
5,1084.0,5.1,19.6,4.21,23.0,73.0,No especial
5,886.0,9.6,15.0,4.32,53.0,78.25,No especial
10,1142.0,94.4,17.7,4.62,118.0,84.0,Bueno
1,1068.0,2.4,33.1,3.98,20.0,77.25,No especial
8,1031.0,3.0,19.2,4.74,34.0,86.75,Muy bueno
8,1211.0,2.5,30.3,4.69,13.0,84.25,Bueno
4,1526.0,53.3,20.2,4.07,26.0,83.25,Bueno
4,868.0,2.4,28.5,4.56,10.0,73.75,No especial
7,1115.0,2.5,31.4,4.32,21.0,81.5,Bueno
5,1414.0,4.7,32.1,4.16,22.0,80.5,Bueno
4,1066.0,130.9,31.2,3.65,15.0,79.25,No especial
9,1432.0,40.5,22.0,4.2,166.0,82.75,Bueno
8,1069.0,2.7,16.6,4.77,23.0,85.5,Muy bueno
6,934.0,2.6,12.9,4.94,24.0,79.5,No especial
3,1506.0,36.6,29.6,3.88,39.0,74.75,No especial
4,1064.0,12.5,31.4,4.1,31.0,75.25,No especial
5,1245.0,101.7,27.3,3.55,29.0,82.0,Bueno
9,925.0,92.8,17.0,4.56,85.0,82.75,Bueno
6,1272.0,6.6,19.6,4.53,20.0,75.5,No especial
5,726.0,99.0,22.8,4.13,32.0,79.75,No especial
8,975.0,12.7,31.6,3.88,35.0,81.75,Bueno
5,1390.0,62.6,16.7,3.86,84.0,84.5,Bueno
0,2085.0,4.7,24.4,4.03,12.0,87.25,Muy bueno
3,1047.0,18.7,20.8,4.03,32.0,73.75,No especial
2,1877.0,7.7,23.3,4.34,35.0,87.75,Muy bueno
8,1073.0,31.5,17.5,4.92,13.0,78.0,No especial
8,1418.0,79.3,16.0,4.02,78.0,85.75,Muy bueno
10,867.0,58.0,19.4,4.44,164.0,86.5,Muy bueno
3,1651.0,5.8,18.8,4.51,23.0,87.25,Muy bueno
8,962.0,103.4,19.0,4.6,45.0,82.0,Bueno
8,975.0,92.9,24.9,3.7,38.0,84.5,Bueno
10,1145.0,61.9,18.2,4.87,124.0,85.25,Muy bueno
9,1446.0,28.9,16.5,4.41,93.0,86.25,Muy bueno
7,1034.0,36.5,27.2,4.5,15.0,78.5,No especial
9,1088.0,19.1,20.0,4.82,50.0,82.5,Bueno
2,1536.0,14.8,17.9,4.21,26.0,85.5,Muy bueno
4,1652.0,9.8,15.3,4.04,62.0,87.25,Muy bueno
10,1057.0,95.8,17.9,4.61,98.0,84.0,Bueno
10,1164.0,79.3,18.8,4.74,159.0,86.25,Muy bueno
10,1223.0,64.0,17.2,4.87,148.0,86.0,Muy bueno
9,1349.0,41.0,18.3,4.65,63.0,84.75,Bueno
1,1218.0,12.2,15.4,3.97,38.0,77.0,No especial
5,735.0,50.3,30.4,3.87,31.0,80.0,Bueno
0,1975.0,36.5,24.5,4.06,8.0,84.25,Bueno
5,1354.0,6.5,32.6,3.85,25.0,74.25,No especial
6,1365.0,96.2,24.2,3.46,30.0,83.75,Bueno
3,1610.0,10.6,33.0,3.91,16.0,75.25,No especial
3,1229.0,77.3,16.8,3.77,34.0,82.25,Bueno
10,1135.0,59.2,16.6,4.72,148.0,85.75,Muy bueno
2,1337.0,68.3,17.8,3.76,41.0,79.25,No especial
10,1193.0,68.9,18.8,4.87,126.0,85.25,Muy bueno
10,1254.0,38.1,18.2,4.9,95.0,86.0,Muy bueno
7,940.0,89.5,18.4,4.6,41.0,81.25,Bueno
4,1127.0,23.9,31.9,3.82,30.0,77.75,No especial
2,1768.0,59.6,26.1,3.83,19.0,80.75,Bueno
9,966.0,75.2,19.2,4.73,44.0,82.25,Bueno
3,1765.0,7.3,16.4,3.78,94.0,87.75,Muy bueno
2,1123.0,8.0,17.1,4.17,19.0,75.5,No especial
9,1042.0,85.0,17.2,4.6,99.0,83.75,Bueno
2,1262.0,95.4,19.5,3.99,20.0,78.5,No especial
4,1484.0,2.8,33.0,3.75,22.0,74.0,No especial
6,444.0,3.1,31.9,4.27,57.0,84.25,Bueno
10,971.0,103.0,19.4,4.75,68.0,83.75,Bueno
2,1594.0,3.0,31.9,4.24,9.0,80.75,Bueno
5,1160.0,104.4,15.9,3.49,50.0,83.0,Bueno
1,1369.0,21.9,17.1,3.94,17.0,72.75,No especial
2,1511.0,66.0,22.7,3.91,21.0,83.25,Bueno
9,754.0,131.0,23.3,4.2,136.0,85.25,Muy bueno
6,1227.0,7.5,21.2,4.6,16.0,75.75,No especial
8,834.0,110.4,21.7,4.66,24.0,80.0,Bueno
4,1139.0,55.3,26.2,4.76,6.0,78.0,No especial
8,1119.0,65.7,17.2,4.68,26.0,79.25,No especial
3,1698.0,52.5,23.8,3.64,32.0,84.0,Bueno
8,588.0,42.0,29.5,4.29,80.0,85.5,Muy bueno
4,973.0,2.7,30.8,4.1,25.0,75.0,No especial
3,939.0,20.2,14.9,4.17,38.0,74.25,No especial
6,815.0,136.5,18.5,4.61,16.0,78.5,No especial
4,962.0,108.2,17.5,3.84,48.0,82.25,Bueno
4,801.0,2.4,14.1,4.59,13.0,72.5,No especial
1,1942.0,54.7,32.6,4.16,8.0,81.75,Bueno
3,1541.0,61.9,23.5,3.73,24.0,84.0,Bueno
3,588.0,25.6,18.9,4.25,46.0,76.0,No especial
3,899.0,86.7,30.3,4.14,13.0,76.75,No especial
1,1301.0,8.9,20.5,3.98,27.0,74.25,No especial
3,1743.0,4.0,30.9,4.43,14.0,86.5,Muy bueno
9,1449.0,33.7,17.3,4.41,113.0,85.25,Muy bueno
10,1270.0,50.6,16.2,4.83,163.0,86.5,Muy bueno
2,1791.0,8.4,28.1,4.15,19.0,83.25,Bueno
3,832.0,2.4,33.0,4.28,14.0,75.75,No especial
6,915.0,101.5,20.3,3.91,47.0,82.0,Bueno
5,1142.0,112.0,21.7,3.48,37.0,75.25,No especial
2,1625.0,8.0,30.6,3.91,37.0,73.5,No especial
5,1439.0,35.0,19.7,4.43,22.0,85.5,Muy bueno
7,1070.0,67.4,20.0,4.55,24.0,78.5,No especial
10,1149.0,7.8,27.2,4.43,49.0,85.5,Muy bueno
1,1874.0,60.8,29.1,4.01,19.0,74.25,No especial
2,1477.0,96.9,26.6,3.82,20.0,72.5,No especial
2,1083.0,35.6,28.1,3.88,25.0,81.75,Bueno
4,1645.0,11.9,15.2,4.02,50.0,86.0,Muy bueno
8,726.0,106.0,21.1,4.59,69.0,83.5,Bueno
10,1190.0,74.8,17.2,4.7,153.0,85.25,Muy bueno
10,1156.0,80.4,18.0,4.85,123.0,84.5,Bueno
0,2010.0,9.2,29.5,4.73,10.0,86.75,Muy bueno
8,837.0,109.0,18.4,4.54,86.0,82.25,Bueno
6,891.0,37.5,16.5,4.42,41.0,77.75,No especial
0,2082.0,35.0,28.5,4.33,6.0,75.25,No especial
9,1114.0,79.3,17.2,4.75,44.0,81.75,Bueno
2,1744.0,10.6,30.2,4.3,10.0,84.75,Bueno
10,1129.0,112.6,19.7,5.08,134.0,86.5,Muy bueno
1,1329.0,4.4,17.4,4.01,27.0,78.5,No especial
2,1203.0,43.2,14.8,3.93,45.0,80.5,Bueno
9,981.0,94.3,18.9,4.64,100.0,83.75,Bueno
2,1105.0,45.3,16.2,3.92,38.0,73.5,No especial
9,792.0,115.6,21.9,4.62,87.0,84.0,Bueno
4,1157.0,2.9,33.1,3.93,24.0,76.75,No especial
5,1036.0,23.6,22.8,4.24,34.0,79.5,No especial
5,940.0,2.8,13.2,4.75,20.0,75.0,No especial
10,1044.0,3.3,20.9,4.94,54.0,87.0,Muy bueno
3,1199.0,52.8,17.1,3.64,41.0,74.25,No especial
1,1946.0,46.8,30.0,4.34,11.0,81.75,Bueno
0,2089.0,9.6,26.3,4.15,8.0,86.75,Muy bueno
6,891.0,122.9,23.9,3.84,34.0,83.25,Bueno
6,1427.0,64.2,23.1,4.23,44.0,85.5,Muy bueno
10,1173.0,42.5,15.2,4.6,143.0,84.0,Bueno
7,648.0,130.5,24.1,4.03,83.0,83.5,Bueno
3,1517.0,47.9,16.2,3.58,53.0,85.5,Muy bueno
6,1266.0,91.7,18.9,3.47,33.0,84.75,Bueno
1,1628.0,48.2,19.7,3.88,38.0,82.25,Bueno
2,1791.0,46.2,22.2,3.75,16.0,84.5,Bueno
4,1126.0,140.8,19.1,3.7,23.0,79.0,No especial
5,756.0,115.5,26.7,3.57,35.0,84.0,Bueno
8,1345.0,42.5,16.6,3.57,70.0,87.0,Muy bueno
1,1916.0,71.7,32.5,4.56,6.0,83.0,Bueno
7,756.0,140.8,27.1,4.41,29.0,80.5,Bueno
9,1518.0,35.1,19.2,4.07,147.0,87.25,Muy bueno
8,1234.0,84.1,22.2,3.74,52.0,85.5,Muy bueno
6,740.0,2.4,27.7,4.76,10.0,84.75,Bueno
3,1279.0,85.9,23.1,3.88,27.0,75.5,No especial
3,692.0,4.4,32.2,3.89,32.0,75.5,No especial
4,708.0,94.1,29.7,3.53,34.0,80.25,Bueno
10,1044.0,60.6,15.2,4.56,146.0,84.75,Bueno
10,1014.0,94.1,18.7,4.65,81.0,83.75,Bueno
1,2045.0,6.7,22.4,4.01,14.0,87.75,Muy bueno
10,1166.0,81.1,17.4,4.77,140.0,85.75,Muy bueno
4,1224.0,105.2,31.1,3.79,16.0,75.25,No especial
3,620.0,3.0,33.0,3.8,49.0,79.0,No especial
9,940.0,80.3,21.5,4.54,38.0,82.0,Bueno
2,1165.0,2.6,28.7,4.38,22.0,86.5,Muy bueno
2,1308.0,45.5,22.8,3.94,34.0,77.0,No especial
10,1348.0,51.8,16.9,4.5,141.0,86.5,Muy bueno
9,1090.0,50.4,15.1,4.79,49.0,80.5,Bueno
7,883.0,108.9,23.0,3.67,61.0,85.25,Muy bueno
3,1289.0,72.0,20.9,3.77,30.0,80.25,Bueno
10,897.0,114.3,20.3,4.77,131.0,85.5,Muy bueno
3,729.0,6.5,13.5,4.53,42.0,75.5,No especial
3,1301.0,2.8,31.5,4.14,23.0,72.5,No especial
8,744.0,26.4,21.4,4.64,43.0,82.5,Bueno
9,886.0,105.8,19.1,4.55,123.0,84.0,Bueno
4,1190.0,5.0,33.0,3.98,27.0,78.0,No especial
9,1785.0,7.1,19.5,4.03,160.0,86.5,Muy bueno
10,907.0,60.9,20.8,4.17,119.0,86.5,Muy bueno
2,1591.0,82.7,32.1,4.17,10.0,76.75,No especial
3,1467.0,81.4,18.9,3.79,36.0,83.0,Bueno
2,1298.0,2.6,32.6,4.1,18.0,73.75,No especial
3,1190.0,38.4,18.3,4.05,32.0,75.0,No especial
4,1594.0,27.9,15.7,3.8,44.0,86.25,Muy bueno
9,1274.0,37.6,22.6,4.65,85.0,86.25,Muy bueno
9,950.0,104.6,18.1,4.65,61.0,83.0,Bueno
7,761.0,14.1,32.1,3.99,54.0,82.5,Bueno
3,1558.0,6.0,14.7,4.15,40.0,86.75,Muy bueno
0,1665.0,21.4,14.4,4.03,43.0,77.5,No especial
9,845.0,113.6,20.5,4.63,79.0,84.25,Bueno
3,829.0,5.2,12.9,4.36,34.0,76.5,No especial
3,1519.0,79.8,22.6,3.79,22.0,81.75,Bueno
0,1995.0,6.4,18.2,3.72,24.0,86.75,Muy bueno
4,775.0,112.8,18.1,4.38,68.0,80.0,No especial
10,1114.0,85.7,18.2,4.76,51.0,82.0,Bueno
2,932.0,6.6,15.6,4.15,37.0,72.75,No especial
10,1161.0,75.6,17.5,4.83,149.0,85.75,Muy bueno
5,1121.0,6.6,32.8,3.98,27.0,78.75,No especial
5,1104.0,112.8,19.2,3.69,37.0,82.75,Bueno
4,1159.0,6.4,31.4,3.95,26.0,74.0,No especial
5,833.0,2.4,32.8,4.48,11.0,81.0,Bueno
9,1165.0,67.7,17.5,4.55,87.0,84.75,Bueno
1,1331.0,46.2,18.2,3.97,26.0,80.25,Bueno
4,1312.0,58.5,17.2,3.99,33.0,83.0,Bueno
9,721.0,151.2,23.3,4.73,94.0,84.5,Bueno
0,1934.0,37.9,24.9,4.02,11.0,82.75,Bueno
3,1380.0,9.7,27.2,4.01,31.0,78.25,No especial
4,1481.0,19.6,21.8,4.03,32.0,83.5,Bueno
8,1008.0,17.2,15.0,4.78,42.0,83.0,Bueno
1,1673.0,26.2,21.0,4.0,19.0,76.5,No especial
5,1629.0,27.1,14.9,3.63,79.0,86.75,Muy bueno
10,1287.0,46.4,18.9,4.63,121.0,84.25,Bueno
5,978.0,90.7,29.7,3.63,33.0,80.5,Bueno
5,1386.0,47.7,17.5,3.71,34.0,86.25,Muy bueno
7,1743.0,34.3,20.0,3.66,67.0,87.0,Muy bueno
8,903.0,106.3,25.5,3.52,55.0,86.75,Muy bueno
1,1922.0,20.7,21.4,4.18,11.0,85.0,Bueno
7,518.0,95.6,24.9,4.34,92.0,82.75,Bueno
2,1527.0,55.4,30.1,4.08,16.0,75.5,No especial
9,953.0,30.1,13.0,4.66,84.0,82.75,Bueno
10,1034.0,80.2,17.5,4.71,138.0,85.25,Muy bueno
3,1496.0,5.3,27.0,4.2,23.0,81.75,Bueno
4,931.0,118.7,17.9,3.69,26.0,79.0,No especial
10,1304.0,92.5,17.2,4.46,142.0,85.5,Muy bueno
4,1056.0,149.3,26.5,4.13,15.0,79.25,No especial
1,1801.0,21.8,23.1,3.94,33.0,72.75,No especial
9,961.0,105.0,19.0,4.61,120.0,84.75,Bueno
8,937.0,71.0,15.9,4.62,39.0,80.25,Bueno
4,1354.0,2.5,32.1,4.28,18.0,74.75,No especial
4,709.0,4.4,32.2,3.86,36.0,79.5,No especial
5,1505.0,22.5,14.3,3.74,45.0,86.5,Muy bueno
1,1514.0,25.3,15.1,3.89,41.0,81.5,Bueno
4,1219.0,139.6,32.0,4.3,17.0,78.0,No especial
8,883.0,23.3,18.0,4.31,161.0,79.75,No especial
10,1137.0,80.9,23.2,4.9,66.0,84.25,Bueno
8,1024.0,63.3,20.5,4.67,37.0,80.0,Bueno
5,1169.0,119.4,29.5,3.49,32.0,77.5,No especial
10,1099.0,71.2,17.2,4.68,132.0,85.0,Bueno
2,1190.0,77.0,15.0,3.84,43.0,80.5,Bueno
7,973.0,122.4,20.0,4.27,84.0,83.75,Bueno
8,1303.0,59.7,21.2,4.42,51.0,82.0,Bueno
9,1171.0,26.6,18.4,4.51,87.0,84.75,Bueno
2,1583.0,2.4,33.1,4.33,8.0,78.25,No especial
3,1965.0,17.4,25.4,3.81,39.0,87.0,Muy bueno
5,1901.0,10.8,18.9,4.18,74.0,87.5,Muy bueno
7,932.0,79.0,26.9,4.16,29.0,79.75,No especial
8,1103.0,131.6,20.1,5.04,9.0,81.25,Bueno
7,1007.0,138.3,21.0,4.39,18.0,83.5,Bueno
2,1281.0,58.1,19.4,3.81,26.0,76.0,No especial
2,786.0,30.2,16.4,3.93,49.0,76.0,No especial
10,1121.0,96.7,21.3,4.85,44.0,83.5,Bueno
10,1262.0,74.8,18.7,4.82,155.0,86.25,Muy bueno
10,988.0,91.2,20.2,4.89,87.0,84.25,Bueno
10,1151.0,58.9,17.3,4.88,154.0,85.75,Muy bueno
7,1027.0,3.8,14.8,4.79,25.0,78.75,No especial
4,895.0,10.5,13.1,4.47,45.0,75.75,No especial
5,1094.0,101.1,23.2,3.67,32.0,82.75,Bueno
6,1180.0,3.0,27.5,4.68,18.0,81.75,Bueno
5,595.0,180.0,25.2,4.44,21.0,80.25,Bueno
5,1076.0,106.0,16.8,3.62,33.0,82.5,Bueno
8,814.0,99.6,28.7,4.23,46.0,82.75,Bueno
5,1505.0,59.8,21.5,3.85,64.0,85.75,Muy bueno
9,1343.0,28.2,19.7,4.64,74.0,84.75,Bueno
1,1910.0,37.3,25.0,4.15,11.0,82.75,Bueno
10,1172.0,90.7,18.5,4.8,96.0,84.75,Bueno
3,766.0,40.2,17.3,3.74,43.0,74.0,No especial
3,972.0,40.8,15.6,3.71,40.0,72.75,No especial
3,1485.0,31.8,23.6,4.14,23.0,82.5,Bueno
5,700.0,163.2,27.6,4.43,20.0,78.75,No especial
1,1710.0,42.3,29.8,4.01,24.0,73.5,No especial
8,1054.0,50.2,16.6,4.62,37.0,80.5,Bueno
7,1280.0,4.2,22.3,4.66,26.0,86.5,Muy bueno
3,1141.0,42.6,19.6,3.82,60.0,74.75,No especial
3,1266.0,73.4,15.4,3.73,37.0,83.25,Bueno
1,1518.0,71.7,16.0,3.93,34.0,81.25,Bueno
8,1274.0,70.9,24.7,3.69,33.0,84.25,Bueno
8,990.0,70.8,16.3,4.64,40.0,80.0,Bueno
7,947.0,126.3,28.6,4.53,18.0,79.25,No especial
3,1848.0,20.8,18.2,3.61,32.0,87.5,Muy bueno
0,2051.0,13.3,25.5,3.94,21.0,80.5,Bueno
10,1146.0,75.6,16.6,4.67,155.0,85.75,Muy bueno
3,1212.0,23.5,24.3,3.83,34.0,72.0,No especial
8,731.0,3.3,23.0,4.8,49.0,87.0,Muy bueno
6,880.0,64.9,25.2,4.39,39.0,78.5,No especial
3,695.0,65.3,26.5,4.0,28.0,76.0,No especial
2,1761.0,7.2,19.5,4.13,27.0,87.75,Muy bueno
4,702.0,146.1,23.8,3.91,55.0,82.75,Bueno
3,933.0,80.4,14.8,4.05,30.0,78.75,No especial
10,1088.0,95.3,18.4,4.78,65.0,82.75,Bueno
3,1484.0,92.2,31.2,3.77,16.0,77.25,No especial
9,942.0,115.9,18.5,4.66,66.0,83.75,Bueno
2,311.0,20.4,27.7,3.91,54.0,79.75,No especial
3,1704.0,3.5,16.7,4.21,24.0,87.5,Muy bueno
10,1287.0,23.8,15.1,4.9,120.0,86.0,Muy bueno
4,1654.0,39.6,21.2,3.48,31.0,86.5,Muy bueno
4,1121.0,3.5,27.3,4.05,28.0,74.0,No especial
4,1588.0,79.5,23.1,3.61,37.0,78.0,No especial
1,1722.0,37.8,18.9,3.91,16.0,82.5,Bueno
0,2078.0,4.8,22.3,3.97,16.0,87.75,Muy bueno
4,1709.0,16.4,15.4,3.75,48.0,87.25,Muy bueno
10,1143.0,73.4,18.6,4.77,89.0,85.25,Muy bueno
2,1626.0,61.8,22.2,3.8,33.0,78.0,No especial
2,1742.0,24.3,28.3,3.95,26.0,82.25,Bueno
5,1011.0,118.4,18.6,4.1,58.0,80.25,Bueno
1,1887.0,46.1,23.3,4.08,11.0,84.75,Bueno
7,1123.0,157.7,21.5,4.87,8.0,76.75,No especial
0,2095.0,5.2,27.2,4.2,8.0,86.5,Muy bueno
4,1320.0,82.0,16.7,3.65,43.0,84.5,Bueno
4,1267.0,85.3,32.4,3.58,20.0,76.25,No especial
10,1144.0,7.6,29.0,4.24,46.0,85.25,Muy bueno
1,1784.0,64.3,28.5,4.02,13.0,79.75,No especial
2,826.0,2.8,32.9,4.07,26.0,75.75,No especial
3,950.0,69.0,26.9,3.68,36.0,73.25,No especial
9,1167.0,10.7,21.2,4.79,53.0,86.0,Muy bueno
0,2064.0,9.3,24.4,4.11,15.0,86.75,Muy bueno
10,1402.0,48.6,20.1,4.58,112.0,85.0,Bueno
2,1370.0,39.2,24.6,3.83,49.0,83.5,Bueno
4,1725.0,34.8,20.6,3.78,38.0,86.25,Muy bueno
2,1467.0,56.4,17.9,4.1,17.0,81.5,Bueno
3,1305.0,141.7,25.0,3.8,21.0,74.0,No especial
1,883.0,42.6,12.3,3.72,53.0,78.5,No especial
10,1182.0,87.0,17.2,4.73,143.0,86.25,Muy bueno
7,1382.0,31.2,14.4,3.55,55.0,87.0,Muy bueno
4,912.0,77.4,14.1,3.83,42.0,78.5,No especial
9,1251.0,29.1,17.7,4.59,58.0,85.0,Bueno
5,1012.0,2.4,32.6,4.29,14.0,79.25,No especial
10,1268.0,51.1,20.3,4.66,108.0,86.25,Muy bueno
10,1027.0,65.0,16.0,4.57,132.0,84.5,Bueno
5,1040.0,2.6,15.6,4.84,13.0,77.75,No especial
1,1528.0,68.5,21.4,4.04,20.0,81.75,Bueno
1,1397.0,4.1,24.8,4.24,16.0,79.75,No especial
1,1768.0,73.4,33.0,4.18,8.0,74.5,No especial
4,1173.0,87.0,26.0,3.63,30.0,76.5,No especial
9,953.0,94.0,17.7,4.53,117.0,83.5,Bueno
4,1100.0,2.6,28.5,4.11,32.0,74.5,No especial
9,1632.0,31.8,20.4,4.53,103.0,87.0,Muy bueno
3,1603.0,5.0,15.3,4.1,35.0,86.5,Muy bueno
7,828.0,107.7,29.7,3.67,43.0,84.0,Bueno
6,905.0,85.3,14.6,4.35,67.0,81.5,Bueno
4,871.0,144.6,30.5,3.47,19.0,82.75,Bueno
2,1044.0,28.9,12.8,3.86,43.0,76.5,No especial
10,948.0,124.9,21.5,4.88,70.0,84.5,Bueno
6,1087.0,3.3,15.2,4.76,19.0,77.75,No especial
2,1794.0,34.3,32.8,4.16,10.0,75.75,No especial
1,1492.0,53.4,17.4,3.96,25.0,80.25,Bueno
9,867.0,108.5,19.3,4.57,89.0,83.75,Bueno
2,1507.0,6.6,15.5,4.15,40.0,86.75,Muy bueno
2,1180.0,21.7,19.0,4.03,41.0,76.75,No especial
